season,publisher,collection,set,number,first_name,middle_name,last_name,limited_code,limited_flag,autographed_flag
2021-22,Upper Deck,MVP,,33,Viktor,,Arvidsson,,,
2021-22,Upper Deck,MVP,,34,Denis,,Gurianov,,,
2021-22,Upper Deck,MVP,20th Anniversary,34,Brayden,,Point,,,
2021-22,Upper Deck,MVP,Silver Script,34,Denis,,Gurianov,,,
2021-22,Upper Deck,MVP,,36,Mats,,Zuccarello,,,
2021-22,Upper Deck,MVP,,38,Max,,Comtois,,,
2021-22,Upper Deck,MVP,,40,John,,Gibson,,,
2021-22,Upper Deck,MVP,,43,Quinn,,Hughes,,,
2021-22,Upper Deck,MVP,,44,Sebastian,,Aho,,,
2021-22,Upper Deck,MVP,Ice Battles,45,Tyson,,Barrie,,,
2021-22,Upper Deck,MVP,,46,John,,Klingberg,,,
2021-22,Upper Deck,MVP,,49,Samuel,,Girard,,,
2021-22,Upper Deck,MVP,,51,Joel,Ek,Eriksson,,,
2021-22,Upper Deck,MVP,20th Anniversary,51,Blake,,Wheeler,,,
2021-22,Upper Deck,MVP,,52,Jeff,,Carter,,,
2021-22,Upper Deck,MVP,,55,Jack,,Eichel,,,
2022-23,Upper Deck,Ice,,55,Jonathan,,Huberdeau,,,
2021-22,Upper Deck,MVP,20th Anniversary,56,Bryan,,Rust,,,
2021-22,Upper Deck,MVP,,57,David,,Perron,,,
2021-22,Upper Deck,MVP,,58,Kris,,Letang,,,
2022-23,Upper Deck,Ice,Green,59,Tanner,,Jeannot,,,
2021-22,Upper Deck,MVP,,61,Mark,,Stone,,,
2021-22,Upper Deck,MVP,,63,Brad,,Marchand,,,
2021-22,Upper Deck,MVP,,64,Oliver,,Bjorkstrand,,,
2021-22,Upper Deck,MVP,,65,Erik,,Karlsson,,,
2021-22,Upper Deck,MVP,,70,Patric,,Hornqvist,,,
2021-22,Upper Deck,MVP,Ice Battles,71,William,,Karlsson,,,
2021-22,Upper Deck,MVP,,72,Thomas,,Chabot,,,
2021-22,Upper Deck,MVP,,73,Tyler,,Toffoli,,,
2021-22,Upper Deck,MVP,,74,John,,Carlson,,,
2021-22,Upper Deck,MVP,Ice Battles,76,P.K.,,Subban,,,
2021-22,Upper Deck,MVP,,77,Victor,,Hedman,,,
2021-22,Upper Deck,MVP,,79,Carter,,Hart,,,
2021-22,Upper Deck,MVP,,80,Alex,,Killorn,,,
2021-22,Upper Deck,MVP,,81,Kyle,,Connor,,,
2021-22,Upper Deck,MVP,,82,Evgeny,,Kuznetsov,,,
2021-22,Upper Deck,MVP,,83,Pavel,,Buchnevich,,,
2021-22,Upper Deck,MVP,,84,Joel,,Farabee,,,
2021-22,Upper Deck,MVP,,87,Nick,,Suzuki,,,
2021-22,Upper Deck,MVP,,88,Brent,,Burns,,,
2021-22,Upper Deck,MVP,Ice Battles,89,Nazem,,Kadri,,,
2021-22,Upper Deck,MVP,,90,Drew,,Doughty,,,
2021-22,Upper Deck,MVP,,91,Philipp,,Grubauer,,,
2021-22,Upper Deck,MVP,,92,Ryan,,Johansen,,,
2021-22,Upper Deck,MVP,,93,Mika,,Zibanejad,,,
2022-23,Upper Deck,Ice,,93,Sam,,Bennett,,,
2021-22,Upper Deck,MVP,,95,Juuse,,Saros,,,
2021-22,Upper Deck,MVP,,96,Mikko,,Rantanen,,,
2021-22,Upper Deck,MVP,,97,Elias,,Pettersson,,,
2021-22,Upper Deck,MVP,,98,Jack,,Roslovic,,,
2021-22,Upper Deck,MVP,Ice Battles,100,Alex,,Ovechkin,,,
2021-22,Upper Deck,MVP,,101,Jordan,,Staal,,,
2021-22,Upper Deck,MVP,,103,Cam,,Atkinson,,,
2021-22,Upper Deck,MVP,,104,MacKenzie,,Weegar,,,
2021-22,Upper Deck,MVP,,105,Devon,,Toews,,,
2021-22,Upper Deck,MVP,Silver Script,105,Devon,,Toews,,,
2021-22,Upper Deck,MVP,,106,Shea,,Weber,,,
2022-23,Upper Deck,Ice,,106,Matt,,Boldy,,,
2021-22,Upper Deck,MVP,,107,Brady,,Tkachuk,,,
2021-22,Upper Deck,MVP,Ice Battles,107,Brady,,Tkachuk,,,
2021-22,Upper Deck,MVP,,108,Joe,,Pavelski,,,
2021-22,Upper Deck,MVP,,109,Ivan,,Provorov,,,
2021-22,Upper Deck,MVP,,110,Yanni,,Gourde,,,
2021-22,Upper Deck,MVP,,113,Nico,,Hischier,,,
2021-22,Upper Deck,MVP,,114,Jamie,,Benn,,,
2021-22,Upper Deck,MVP,,116,Vincent,,Trocheck,,,
2021-22,Upper Deck,MVP,,119,Nicklas,,Backstrom,,,
2021-22,Upper Deck,MVP,,121,Nino,,Niederreiter,,,
2021-22,Upper Deck,MVP,,123,Sean,,Monahan,,,
2021-22,Upper Deck,MVP,,126,Drake,,Batherson,,,
2021-22,Upper Deck,MVP,Ice Battles,126,Drake,,Batherson,,,
2021-22,Upper Deck,MVP,,127,Shea,,Theodore,,,
2021-22,Upper Deck,MVP,,129,Conor,,Garland,,,
2021-22,Upper Deck,MVP,,135,Carter,,Verhaeghe,,,
2021-22,Upper Deck,MVP,,137,Andrei,,Svechnikov,,,
2021-22,Upper Deck,MVP,,139,Timo,,Meier,,,
2021-22,Upper Deck,MVP,,140,Josh,,Anderson,,,
2021-22,Upper Deck,MVP,,141,Christian,,Dvorak,,,
2021-22,Upper Deck,MVP,,142,Phillip,,Danault,,,
2021-22,Upper Deck,MVP,,145,Jordan,,Eberle,,,
2021-22,Upper Deck,MVP,,147,Nick,,Schmaltz,,,
2021-22,Upper Deck,MVP,,148,Nils,,Hoglander,,,
2021-22,Upper Deck,MVP,,150,Mikhail,,Sergachev,,,
2021-22,Upper Deck,MVP,,151,Robby,,Fabbri,,,
2021-22,Upper Deck,MVP,,152,Alex,,Tuch,,,
2021-22,Upper Deck,MVP,,153,Tristan,,Jarry,,,
2021-22,Upper Deck,MVP,,154,Miles,,Wood,,,
2021-22,Upper Deck,MVP,,155,Connor,,Hellebuyck,,,
2021-22,Upper Deck,MVP,,157,Thatcher,,Demko,,,
2021-22,Upper Deck,MVP,,159,Roman,,Josi,,,
2021-22,Upper Deck,MVP,,160,Evgeni,,Malkin,,,
2021-22,Upper Deck,MVP,,162,Pavel,,Zacha,,,
2021-22,Upper Deck,MVP,,165,Filip,,Hronek,,,
2021-22,Upper Deck,MVP,Ice Battles,165,Filip,,Hronek,,,
2021-22,Upper Deck,MVP,,166,Dougie,,Hamilton,,,
2021-22,Upper Deck,MVP,,167,Rickard,,Rakell,,,
2021-22,Upper Deck,MVP,,168,Zach,,Hyman,,,
2021-22,Upper Deck,MVP,,169,J.T.,,Miller,,,
2021-22,Upper Deck,MVP,,171,Jakub,,Voracek,,,
2021-22,Upper Deck,MVP,,174,Martin,,Necas,,,
2021-22,Upper Deck,MVP,,175,Anders,,Lee,,,
2021-22,Upper Deck,MVP,,176,Ty,,Smith,,,
2021-22,Upper Deck,MVP,Ice Battles,176,Ty,,Smith,,,
2021-22,Upper Deck,MVP,,178,T.J.,,Oshie,,,
2021-22,Upper Deck,MVP,,181,Phil,,Kessel,,,
2021-22,Upper Deck,MVP,Ice Battles,181,Phil,,Kessel,,,
2021-22,Upper Deck,MVP,,185,Anthony,,Mantha,,,
2021-22,Upper Deck,MVP,,186,Brayden,,Point,,,
2021-22,Upper Deck,MVP,,187,Jonathan,,Huberdeau,,,
2021-22,Upper Deck,MVP,,189,Jean-Gabriel,,Pageau,,,
2021-22,Upper Deck,MVP,Ice Battles,189,Jean-Gabriel,,Pageau,,,
2021-22,Upper Deck,MVP,,191,Vladimir,,Tarasenko,,,
2021-22,Upper Deck,MVP,Silver Script,191,Vladimir,,Tarasenko,,,
2021-22,Upper Deck,MVP,,193,Ryan,,Nugent-Hopkins,,,
2021-22,Upper Deck,MVP,Ice Battles,193,Ryan,,Nugent-Hopkins,,,
2021-22,Upper Deck,MVP,,194,Morgan,,Rielly,,,
2021-22,Upper Deck,MVP,,199,John,,Tavares,,,
2021-22,Upper Deck,MVP,,200,Artemi,,Panarin,,,
2021-22,Upper Deck,MVP,Ice Battles,200,Artemi,,Panarin,,,
2021-22,Upper Deck,MVP,Blue,202,Carey,,PrIce Battles,,,
2021-22,Upper Deck,MVP,,210,Leon,,Draisaitl,,,
2021-22,Upper Deck,MVP,Blue,210,Leon,,Draisaitl,,,
2021-22,Upper Deck,MVP,Ice Battles,212,Ryan,,O'Reilly,,,
2021-22,Upper Deck,MVP,Silver Script,212,Ryan,,O'Reilly,,,
2021-22,Upper Deck,MVP,,213,Miro,,Heiskanen,,,
2021-22,Upper Deck,MVP,Ice Battles,215,Auston,,Matthews,,,
2021-22,Upper Deck,MVP,Blue,217,Patrick,,Kane,,,
2021-22,Upper Deck,MVP,,223,Jeremy,,Davies,,,
2021-22,Upper Deck,MVP,,231,Wade,,Allison,,,
2021-22,Upper Deck,MVP,Ice Battles,233,Cameron,,York,,,
2021-22,Upper Deck,MVP,,234,Alex,,Newhook,,,
2021-22,Upper Deck,MVP,Ice Battles,236,Shane,,Pinto,,,
2021-22,Upper Deck,MVP,,238,Jan,,Jenik,,,
2021-22,Upper Deck,MVP,,245,Jamie,,Drysdale,,,
2021-22,Upper Deck,MVP,,247,Rasmus,,Kupari,,,
2021-22,Upper Deck,MVP,Before and After,BA-16,Matthew,,Tkachuk,,,
2021-22,Upper Deck,MVP,Before and After,BA-3,Tyler,,Seguin,,,
2021-22,Upper Deck,MVP,Hart Attack,HA-1,Connor,,McDavid,,,
2021-22,Upper Deck,MVP,Hart Attack,HA-12,Anze,,Kopitar,,,
2022-23,Upper Deck,Ice,Ice Crystals,IC-14,Mitch,,Marner,,,
2021-22,Upper Deck,MVP,Mascots Gaming,M-15,,,Nordy,,,
2021-22,Upper Deck,MVP,Mascots Gaming,M-21,,,Gritty,,,
2021-22,Upper Deck,MVP,Mascots Gaming,M-27,the Whale,,Finn,,,
2021-22,Upper Deck,MVP,Mascots Gaming,M-7,Hawk,,Tommy,,,
2021-22,Upper Deck,MVP,Mascots Gaming,M-9,,,Stinger,,,
